id,book_author_full_name
213,Цветаева Марина Ивановна
214,Рассел Рейчел Рене
215,Кинни Джефф
216,Патрикеев Новомир Борисович
217,Ахматова Анна Андреевна
218,Драйзер Теодор
219,Маршак Самуил Яковлевич
220,Лермонтов Михаил Юрьевич
221,Столяренко Людмила Дмитриевна
222,Маккалоу Колин
223,Манкастер Гарриет
224,Кожевников Петр Матвеевич
225,Рыжов Константин Владиславович
226,Быков Дмитрий Львович
227,Крапивин Владислав Петрович
228,Смоленский Михаил Борисович
229,Гарднер Эрл Стенли
230,Бунин Иван Алексеевич
231,Донской Сергей Георгиевич
232,Салтыков-Щедрин Михаил Евграфович
233,Саймак Клиффорд Дональд
234,Иванов Алексей Викторович
235,Грановская Евгения
236,Хейг Мэтт
237,Усачева Елена Александровна
238,Коллинз Джекки
239,Касслер Клайв
240,Фрейд Зигмунд
241,Поляков Юрий Михайлович
242,Гришковец Евгений Валерьевич
243,Харрис Джоанн
244,Балязин
245,Раззаков Федор Ибатович
246,Баландин Рудольф Константинович
247,Колышевский Алексей Юрьевич
248,Корецкий Данил Аркадьевич
249,Даль Роальд
250,Чуковский Корней Иванович
251,Чарская Лидия Алексеевна
252,Кузнецов Игорь Николаевич
253,Лесков Николай Семенович
254,Макьюэн Иэн
255,Браун Сандра
256,Джером Джером Клапка
257,Рид Майн Томас
258,Ридделл Крис
259,Ольховская Анна Николаевна
260,Баскова Ольга
261,Герритсен Тесс
262,Бальзак Оноре де
263,Мощанский Илья Борисович
264,Петрушевская Людмила Стефановна
265,Хиггинс Кларк Мэри
266,Золя Эмиль
267,Зорич Александр Владимирович
268,Перро Шарль
269,Волков Александр Мелентьевич
270,Платонов Андрей Платонович
271,Мид Райчел
272,Ницше Фридрих Вильгельм
273,Ядне Нина Николаевна
274,Дилейни Джозеф
275,Функе Корнелия
276,ДиКамилло Кейт
277,Цвейг Стефан
278,Васина Нина Степановна
279,Абгарян Наринэ Юриковна
280,Брэдли Алан
281,Афанасьев Александр
282,Геласимов Андрей Валерьевич
283,Веденская Татьяна Евгеньевна
284,Янковский Дмитрий Валентинович
285,Алексеев Сергей Трофимович
286,Мельникова Ирина Александровна
287,Артемьева Галина Марковна
288,Остин Джейн
289,Куатьэ Анхель де
290,Шарков Феликс Изосимович
291,Нотомб Амели
292,Дикуль Валентин Иванович
293,Усачев Андрей Алексеевич
294,Вудхаус Пелем Гренвилл
295,Быковский Василий Алексеевич
296,Уайт Карен
297,Поротников Виктор Петрович
298,Градова Ирина
299,Михалков Сергей Владимирович
300,Шишов Алексей Васильевич
301,Сапковский Анджей
302,Некрасова Мария Евгеньевна
303,Уэльбек Мишель
304,Бондарев Юрий Васильевич
305,Джио Сара
306,Ильф Илья Арнольдович
307,Блэк Холли
308,Буровский Андрей Михайлович
309,Горький Максим
310,Стивотер Мэгги
311,Стивенсон Роберт Льюис
312,Уэллс Герберт Джордж
313,Бахревский Владислав Анатольевич
314,Крестовский Всеволод Владимирович
315,Яртова Лариса Альбертовна
316,Бурлак Вадим Николаевич
317,Исигуро Кадзуо
318,Бродский Иосиф Александрович
319,Карризи Донато
320,Соколов Борис Вадимович
321,Левитина Наталия Станиславовна
322,Нестерина Елена Вячеславовна
323,Спаркс Николас
324,Сорокин Владимир Георгиевич
325,Вайль Петр Львович
326,Шилова Юлия Витальевна
327,Варгас Льоса Марио
328,Барто Агния Львовна
329,Кинан Кейт
330,Бакман Фредрик
331,Мазилкина Елена Ивановна
332,Солженицын Александр Исаевич
333,Хмельницкая Ольга Андреевна
334,Валишевский Казимир Феликсович
335,Драгунский Виктор Юзефович
336,Уайт Лорет Энн
337,Истратова Оксана Николаевна
338,Осеева Валентина Александровна
339,Панов Вадим Юрьевич
340,Райс Энн
341,Ращупкина Светлана Юрьевна
342,Житков Борис Степанович
343,Витчер Муни
344,Горбунова Галина Семеновна
345,Саберхаген Фред Томас
346,Гранже Жан-Кристоф
347,Моэм Уильям Сомерсет
348,Данилова Анна Васильевна
349,Жвалевский Андрей Валентинович
350,Нечаев Сергей Юрьевич
351,Орлов Алекс
352,Колфер Крис
353,Гусев Антон Петрович
354,Дяченко Марина Юрьевна
355,Рунов Валентин Александрович
356,Рыбаков Анатолий Наумович
357,Янссон Туве Марика
358,Родари Джанни
359,Есенин Сергей Александрович
360,Демин Валерий Никитич
361,Иванов Антон Давидович
362,Герцен Александр Иванович
363,Иванов
364,Звягинцев Василий Дмитриевич
365,Малышева Анна Витальевна
366,Крамер Марина
367,Гайдар Аркадий Петрович
