id,user_id,book_id
1,1,19365
2,2,10467
3,2,19223
4,2,4533
5,2,18390
6,2,23049
7,2,22536
8,2,6741
9,2,4061
10,2,4250
11,2,16997
12,2,15952
13,2,12858
14,2,21829
15,2,14971
16,2,20075
17,2,22264
18,4,2235
19,4,16593
20,4,998
21,4,12806
22,4,1188
23,4,18764
24,4,816
25,4,23327
26,4,10263
27,4,19789
28,4,4546
29,4,18809
30,4,9792
31,4,19862
32,4,20583
33,4,20866
34,4,20930
35,8,3674
36,8,3792
37,8,4800
38,8,8927
39,8,14973
40,8,15039
41,8,15053
42,8,15018
43,8,14983
44,8,87
45,8,631
46,8,15491
47,8,2102
48,8,16453
49,8,87
50,8,631
51,8,15491
52,8,2102
53,8,8503
54,8,8761
55,8,16633
56,8,8503
57,8,2274
58,8,2273
59,8,3589
60,8,18048
61,8,18169
62,8,18170
63,8,18279
64,8,18651
65,8,17940
66,8,17935
67,8,17933
68,8,19032
69,8,19088
70,8,19174
71,8,19176
72,8,19153
73,8,19143
74,8,18728
75,8,19137
76,8,19083
77,8,18350
78,8,19132
79,8,19178
80,8,18045
81,8,5288
82,8,18053
83,8,19154
84,8,19224
85,8,17879
86,8,18033
87,8,5288
88,8,1916
89,8,8468
90,8,19356
91,8,19355
92,8,19354
93,8,19357
94,8,19362
95,8,19359
96,8,19361
97,8,19358
98,8,19402
99,8,19403
100,8,19225
101,8,19573
102,8,2158
103,8,19085
104,8,19126
105,8,19114
106,8,16160
107,8,16160
108,8,18217
109,8,16160
110,8,18217
111,8,16160
112,8,18217
113,8,15759
114,8,2158
115,8,17579
116,8,19114
117,8,19085
118,8,4350
119,8,15376
120,8,152
121,8,8555
122,8,4350
123,8,3852
124,8,5247
125,8,14711
126,8,4431
127,8,4243
128,8,4611
129,8,14580
130,8,15307
131,8,18999
132,8,9667
133,8,19183
134,8,18117
135,8,8654
136,8,18390
137,8,16196
138,8,9271
139,8,9418
140,8,18721
141,8,4135
142,8,14609
143,8,18501
144,8,9676
145,8,9671
146,8,19058
147,8,19060
148,8,19327
149,8,6566
150,8,6487
151,8,19059
152,8,9458
153,8,18980
154,8,16701
155,8,103
156,8,15261
157,8,197
158,8,4119
159,8,5879
160,8,103
161,8,16701
162,8,15261
163,8,19969
164,8,6434
165,8,756
166,8,18979
167,8,9329
168,8,18978
169,8,18977
170,8,4732
171,8,8618
172,8,14481
173,8,9687
174,8,9453
175,8,20182
176,8,20012
177,8,19827
178,8,19567
179,8,8955
180,8,8700
181,8,1916
182,8,20399
183,8,20318
184,8,20319
185,8,19930
186,8,20111
187,8,20020
188,8,20011
189,8,20487
190,8,20256
191,8,20508
192,8,19858
193,8,19816
194,8,8803
195,8,8803
196,8,19928
197,8,20294
198,8,20323
199,8,19025
200,8,2845
201,8,20013
202,8,20507
203,8,3633
204,8,8947
205,8,19218
206,8,2565
207,8,19124
208,8,19163
209,8,19952
210,8,20013
211,8,20507
212,8,20110
213,8,8398
214,8,19932
215,8,19934
216,8,19811
217,8,19325
218,8,20915
219,8,5248
220,8,8404
221,8,19555
222,8,21311
223,8,21310
224,8,21309
225,8,21323
226,8,21362
227,8,19823
228,8,19555
229,8,21421
230,8,21420
231,8,17376
232,8,17376
233,8,19773
234,8,21567
235,8,21560
236,8,21386
237,8,21387
238,8,21389
239,8,21388
240,8,21390
241,8,20075
242,8,257
243,8,3565
244,8,19674
245,8,21705
246,8,21831
247,8,8640
248,8,19039
249,8,4561
250,8,18117
251,8,19183
252,8,22029
253,8,21029
254,8,19825
255,8,19854
256,8,21441
257,8,19973
258,8,19234
259,8,467
260,8,20322
261,8,17864
262,8,22315
263,8,22306
264,8,22316
265,8,21815
266,8,22333
267,8,22430
268,8,22428
269,8,22427
